vin,make,model,trim,transmission,color,interior
1gyee637750169839,CADILLAC,SRX,,,,
2hkyf18545h551632,HONDA,Pilot,EX-L,Automatic,,
3gnec16t93g137207,CHEVROLET,Suburban,,,,
2g1fp22k7y2107629,CHEVROLET,Camaro,Sport,,,
1fmru15l3yla46321,FORD,Expedition,,,,
2fmda5147xbc08619,FORD,Windstar,,,,
1ftrx18l3xnb64136,FORD,F-150,,,,
1fmru17l1xlb32027,FORD,Expedition,,,,
1g1nd52mxw6263697,CHEVROLET,Malibu,,,,
1b4gp54l9wb639872,DODGE,Caravan/Grand Caravan,LE/ES,,,
1gccs19z6p8125675,CHEVROLET,S-10 Pickup,,,,
wdbba48d1ja084599,MERCEDES-BENZ,560,,,,
1fdne3bl9dda32147,FORD,E-350,,,,
4a32b2ff7ce015240,MITSUBISHI,Galant,,,,
2fabp7bv5ax113795,FORD,Crown Victoria,,,,
1gbds14e198146336,CHEVROLET,Colorado,,,,
2g1ws57m691286036,CHEVROLET,Impala,Police,,,
waubgcfb5bn050278,AUDI,A6,,Automatic,,
1gyee637x80107162,CADILLAC,SRX,,,,
1gccs299388185677,CHEVROLET,Colorado,LS,,,
1c3cdfbh2ed871560,DODGE,Dart,SXT,,,
salmf15427a260589,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
jm3er293970145057,MAZDA,CX-7,,,,
2t1kr30e47c661669,TOYOTA,Corolla Matrix,,,,
5tfrv54107x012224,TOYOTA,Tundra,SR5,,,
2c4rdgdg5er307866,DODGE,Grand Caravan,Crew,,,
2g1wb58n169291049,CHEVROLET,Impala,LS,,,
salsf25476a964542,LAND ROVER,Range Rover Sport,HSE,Automatic,,
wp0ca29916s756232,PORSCHE,911,Carrera (2WD)/Carrera 4 (4WD)/Carrera 4S (4WD),,,
jf1sg63625h705808,SUBARU,Forester,2.5X,Automatic,,
2c8gf68414r646259,CHRYSLER,Pacifica,Touring,,,
salme11443a134849,LAND ROVER,Range Rover,Feature Specification 2,Automatic,,
1j4gw48n3yc177232,JEEP,Grand Cherokee,Laredo,,,
2hkrl1855yh525459,HONDA,Odyssey,LX,Automatic,,
1fmdu35p0vzb30016,FORD,Explorer,XLT,,,
2g1fp22k4v2111598,CHEVROLET,Camaro,Sport,,,
1ftex08lxvkd37769,FORD,F-150,Flareside,,,
jhmra1878sc025398,HONDA,Odyssey,EX,Automatic,,
wdbca39d9ha336588,MERCEDES-BENZ,560,,,,
1c4njrab0ed820084,JEEP,Patriot,Sport,,,
2c4rvabg9er135077,VOLKSWAGEN,Routan,SE,,,
1g1zh57n294217983,CHEVROLET,Malibu,LT/1LT,,,
1gbdv131x8d148582,CHEVROLET,Uplander,APV Cargo/Mobility,,,
1gbdv13178d141251,CHEVROLET,Uplander,APV Cargo/Mobility,,,
1gbdv13198d148766,CHEVROLET,Uplander,APV Cargo/Mobility,,,
3gnda23p96s659321,CHEVROLET,HHR,LT,,,
2a4gm684x6r863409,CHRYSLER,Pacifica,Touring,,,
2a4gm684x6r614799,CHRYSLER,Pacifica,Touring,,,
2hjyk16576h554870,HONDA,Ridgeline,,Automatic,,
1g1yy24u255101287,CHEVROLET,Corvette,,,,
jtjbt20x130008537,LEXUS,GX,470,,,
1fmzu73k92zc59405,FORD,Explorer,XLT,,,
1j4fy19s5vp466660,JEEP,Wrangler,Sport/TJ,,,
1c4njdab7ed815614,JEEP,Compass,Sport,,,
wbakb8c5xcc448044,BMW,750Li,LWB,,,
wbakc8c58cc436634,BMW,750Lxi,xDrive LWB,,,
wbakb8c57cc963650,BMW,750Li,LWB,,,
wbakb8c57cc964667,BMW,750Li,LWB,,,
wbakb8c57cc965334,BMW,750Li,LWB,,,
3gnda23p06s664004,CHEVROLET,HHR,LT,,,
jm3er293x70125013,MAZDA,CX-7,,,,
salae25496a399032,LAND ROVER,LR3,SE / V8 SE,Automatic,,
4a32b2ff1be023610,MITSUBISHI,Galant,,,,
1ftns2el4ada27470,FORD,E-250,,,,
wbahl835x7dt09880,BMW,750i,,,,
2fafp71w47x140619,FORD,Crown Victoria,,,,
5tfrt54137x016225,TOYOTA,Tundra,SR5,,,
3gnda23p76s673914,CHEVROLET,HHR,LT,,,
1gdgg31v061903575,GMC,Savana,,,,
2mehm75v56x637575,MERCURY,Grand Marquis,,,,
jm1cr293160119356,MAZDA,Mazda5,,,,
2c4gf68475r594915,CHRYSLER,Pacifica,Touring,,,
1fmzu62k95ua25147,FORD,Explorer,XLS,,,
1fmcu93154da12634,FORD,Escape,,,,
jm1fe17n640110463,MAZDA,RX-8,,,,
wdbpj74j23a037121,MERCEDES-BENZ,CL-Class,AMG,,,
1j4gw58nxyc333336,JEEP,Grand Cherokee,Limited,,,
1fmfu18l5vla20815,FORD,Expedition,,,,
kmhd25lh7eu160866,HYUNDAI,,,,,
1fdss3bl0ada89196,FORD,E-350,,,,
salsf25497a990657,LAND ROVER,Range Rover Sport,HSE Spec 2,Automatic,,
3b7hc13z7vg772587,DODGE,Ram,1500,,,
2fabp7bv4bx157952,FORD,Crown Victoria,,,,
1gbds14e498152552,CHEVROLET,Colorado,,,,
1gbhg39c091152188,CHEVROLET,Express,,,,
2d8hn44h88r706096,DODGE,Caravan/Grand Caravan,SE,,,
3gnda23d37s552028,CHEVROLET,HHR,LT,Manual,,
2mefm75v77x636209,MERCURY,Grand Marquis,,,,
2a4gf68416r612434,CHRYSLER,Pacifica,Touring,,,
5fnyf18466b010203,HONDA,Pilot,EX,Automatic,,
jtjht00w664006186,LEXUS,LX,470,,,
1g6dc67a950149561,CADILLAC,STS,,,,
1gbjg31u251236206,CHEVROLET,Express,,,,
2c8gf68425r381238,CHRYSLER,Pacifica,Touring,,,
2d4fv48v25h167825,DODGE,Magnum,Base/SXT,,,
2d4fv48v55h531882,DODGE,Magnum,Base/SXT,,,
1fmzu73k15za44993,FORD,Explorer,XLT,,,
jtjbt20x150093687,LEXUS,GX,470,,,
1gyee63ax40181056,CADILLAC,SRX,,,,
1g1yy22gx45107639,CHEVROLET,Corvette,,,,
2c8gm68424r647331,CHRYSLER,Pacifica,Touring,,,
1fmzu73e54ub79125,FORD,Explorer,XLT,,,
jm1fe173140107176,MAZDA,RX-8,,,,
1d4gp24383b101938,DODGE,Caravan/Grand Caravan,,,,
1ftne24m02hb17906,FORD,E-250,,,,
2fmda5240xba72851,FORD,Windstar,,,,
4n2dn1112vd829018,NISSAN,Quest,,,,
1g1yy22pxt5112659,CHEVROLET,Corvette,Corvette & Convertible,,,
1ftns24l9yhb33627,FORD,E-250,,,,
2ftrx18l4yca27410,FORD,F-150,,,,
1b3ej46x9wn214495,DODGE,Stratus,Base,,,
wbaka8c54ccy37815,BMW,750i,750i SWB,,,
wbaka8c5xcdx01182,BMW,750i,750i SWB,,,
wbaka8c52cds99898,BMW,750i,750i SWB,,,
wbakb8c52cc964916,BMW,750Li,LWB,,,
salmf1e40ca379123,LAND ROVER,Range Rover,HSE LUX,Automatic,,
4a32b2ff0ce016617,MITSUBISHI,Galant,,,,
wbakb8c58bcy64740,BMW,750Li,,,,
2fabp7bv9bx100680,FORD,Crown Victoria,,,,
4a32b2ff6be024719,MITSUBISHI,Galant,,,,
1ftne2el5ada49436,FORD,E-250,,,,
1ftfw1ev1ake28166,FORD,F-150,Styleside,,,
1ftfx1ev7ake47916,FORD,F-150,Styleside,,,
1j4gz39109l717912,JEEP,Wrangler,Unlimited X,,,
wp0aa29909s706272,PORSCHE,911,"Carrera (2WD), Carrera 4 (4WD)",,,
wbahl83528dt11155,BMW,750i,,,,
1gbhg39c081185870,CHEVROLET,Express,,,,
3gnca23p78s695491,CHEVROLET,HHR,LT-1LT,Automatic,,
jtjbt20x670141770,LEXUS,GX,470,,,
jtjht00w174029733,LEXUS,LX,,,,
jm3er29l570123153,MAZDA,CX-7,,,,
jm1fe173470211259,MAZDA,RX-8,,,,
1lnhm82v87y620908,LINCOLN,Town Car,,,,
jm3er293070112383,MAZDA,CX-7,,,,
jm1cr293170156585,MAZDA,Mazda5,,,,
2a8gm68476r815428,CHRYSLER,Pacifica,Touring,,,
2hjyk16476h541351,HONDA,Ridgeline,,Automatic,,
salae25436a391489,LAND ROVER,LR3,SE / V8 SE,Automatic,,
salae25456a374077,LAND ROVER,LR3,SE / V8 SE,Automatic,,
2c8gm48l05r437095,CHRYSLER,Pacifica,Base,,,
1fmzu73k25ub00596,FORD,Explorer,XLT,,,
1ftrx14w75fa05630,FORD,F-150,Styleside,,,
2hkyf18725h557916,HONDA,Pilot,EX-L,Automatic,,
jtjbt20x550088430,LEXUS,GX,470,,,
jtjbt20x750079177,LEXUS,GX,470,,,
jtjbt20x440043736,LEXUS,GX,470,,,
jm1fe17n940134966,MAZDA,RX-8,,,,
1fmyu931x3kd46514,FORD,Escape,,,,
jtjht00w833526875,LEXUS,LX,470,,,
salty15482a765292,LAND ROVER,Discovery,Leather 5 Seat,Automatic,,
1gndm19w9yb114136,CHEVROLET,Astro Van,,,,
1c4gp64l2yb701799,CHRYSLER,Town and Country,Limited,,,
1gccs19w8y8291221,CHEVROLET,S-10 Pickup,,,,
1fmdu84p3yzb88768,FORD,Explorer,Eddie Bauer,,,
1j4fa49s1yp801620,JEEP,Wrangler,Sport,,,
1b4gp44g1wb619144,DODGE,Caravan/Grand Caravan,SE/Sport,,,
1gmdx03e4wd265702,PONTIAC,Trans Sport,,,,
1fmfu18l8vlb48434,FORD,Expedition,,,,
1j4fy19s7vp486540,JEEP,Wrangler,Sport/TJ,,,
1g3aj55m3t6408214,OLDSMOBILE,Cutlass Ciera,SL,,,
1b7hc16y3rs527349,DODGE,Ram,1500,,,
wau3gafc1cn076685,AUDI,A7,,Automatic,,
wbaka8c59cdx01061,BMW,750i,750i SWB,,,
wbakb8c50cc964106,BMW,750Li,LWB,,,
wbaka8c5xcds99941,BMW,750i,750i SWB,,,
wbakb8c53cc962995,BMW,750Li,LWB,,,
wbaka8c53cds99859,BMW,750i,750i SWB,,,
wbaka8c5xcds99521,BMW,750i,750i SWB,,,
wbaka8c52cds99822,BMW,750i,750i SWB,,,
wbakb8c59cc963956,BMW,750Li,LWB,,,
wbakb8c53cc962821,BMW,750Li,LWB,,,
wbakb8c57cc963938,BMW,750Li,LWB,,,
wbaka8c53cds99912,BMW,750i,750i SWB,,,
2a4rr4de3ar206201,CHRYSLER,Town and Country,LX,,,
2g1wc583589164366,CHEVROLET,Impala,2LT,,,
1gyee63a070182186,CADILLAC,SRX,,,,
1g1yy25u675107112,CHEVROLET,Corvette,,,,
jtjbt20x270134086,LEXUS,GX,470,,,
jm3er293270138290,MAZDA,CX-7,,,,
2t1kr32e67c656440,TOYOTA,Corolla Matrix,,,,
3gnda13d26s511480,CHEVROLET,HHR,LS,,,
3gnda23p26s629514,CHEVROLET,HHR,LT,,,
2a8gm48466r611773,CHRYSLER,Pacifica,Base,,,
2a4gm68436r720690,CHRYSLER,Pacifica,Touring,,,
2a4gm68446r778145,CHRYSLER,Pacifica,Touring,,,
1fdwe35l16hb12067,FORD,E-350,,,,
2c4rdgdg1er307864,DODGE,Grand Caravan,Crew,,,
2c4rdgdg3er204672,DODGE,Grand Caravan,Crew,,,
2c4rdgdg9er280624,DODGE,Grand Caravan,Crew,,,
2c4rdgdg2er229546,DODGE,Grand Caravan,Crew,,,
2c4rdgdg5er280636,DODGE,Grand Caravan,Crew,,,
2c4rdgdg6er183624,DODGE,Grand Caravan,Crew,,,
2c4rdgdg8er280629,DODGE,Grand Caravan,Crew,,,
2c4rdgdg0er307855,DODGE,Grand Caravan,Crew,,,
salmf13446a218507,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
salmf13426a222135,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
jm1fe173060206039,MAZDA,RX-8,,,,
2c4rdgdg4er149973,DODGE,Grand Caravan,Crew,,,
2c4rdgdg9er145353,DODGE,Grand Caravan,Crew,,,
2c4rdgdg0er204614,DODGE,Grand Caravan,Crew,,,
2c4rdgdg8er229504,DODGE,Grand Caravan,Crew,,,
2c8gf68495r276020,CHRYSLER,Pacifica,Touring,,,
2c4gf48495r524997,CHRYSLER,Pacifica,Base,,,
2c8gf68425r588146,CHRYSLER,Pacifica,Touring,,,
1fmzu73k95ub09067,FORD,Explorer,XLT,,,
1fmzu63kx5ua46765,FORD,Explorer,XLT,,,
3c4pddfg6et117946,DODGE,Journey,R/T,,,
1fmyu93114da19411,FORD,Escape,,,,
2hkyf18644h577042,HONDA,Pilot,EX-L( With RES),Automatic,,
jtjbt20xx40065790,LEXUS,GX,470,,,
1g1yy22g035119748,CHEVROLET,Corvette,,,,
1c4gj45303b113834,CHRYSLER,Voyager,LX,,,
2d6wb11x73k516486,DODGE,Ram Van,1500,,,
salty164x3a786743,LAND ROVER,Discovery,Leather 5 Seat,Automatic,,
jn1az34d83t118750,NISSAN,350Z,,,,
1gccs14w9yk114896,CHEVROLET,S-10 Pickup,,,,
